Institution Country,Country Type
,
Switzerland,Switzerland
Italy,Other
United States of America,Other
France,Other
Germany,Other
Liechtenstein,Other
Austria,Other
Canada,Other
Sweden,Other
South Africa,Other
Denmark,Other
Great Britain and Northern Ireland,Other
Australia,Other
Egypt,Other
Kenya,Other
Netherlands,Other
Yugoslavia,Other
Spain,Other
Brazil,Other
Argentina,Other
PapuaNew Guinea,Other
Israel,Other
Unknown,Other
Colombia,Other
Finland,Other
Japan,Other
New Zealand,Other
Norway,Other
Belgium,Other
Philippines,Other
Venezuela,Other
Indonesia,Other
Singapore,Other
Lebanon,Other
China,Other
Thailand,Other
Mexico,Other
Hungary,Other
Russia,Other
Greece,Other
Bahamas,Other
Ivory Coast,Other
Mauritius,Other
Burkina Faso,Other
Hongkong,Other
Albania,Other
Poland,Other
Czech Republic,Other
Slovakia,Other
India,Other
Latvia,Other
Slovenia,Other
Bulgaria,Other
Romania,Other
Lithuania,Other
Ukraine,Other
Estonia,Other
Taiwan,Other
Turkey,Other
Madagascar,Other
Burundi,Other
Korean Republic (South Korea),Other
Cuba,Other
Vatican State,Other
Iceland,Other
Morocco,Other
Armenia,Other
Belarus,Other
Uzbekistan,Other
Georgia,Other
Kazakstan,Other
Bosnia-Hercegovina,Other
Iran,Other
Namibia,Other
Croatia,Other
Kyrgyzstan,Other
Macedonia,Other
Moldova,Other
Ireland,Other
Barbados,Other
Chile,Other
Gambia,Other
Uganda,Other
Zambia,Other
Mongolia,Other
Portugal,Other
Tonga,Other
Paraguay,Other
Sri Lanka,Other
Peru,Other
Cyprus,Other
Tunisia,Other
Ecuador,Other
Panama,Other
Nepal,Other
Tajikistan,Other
Serbia and Montenegro,Other
Cameroon,Other
Ghana,Other
Syria,Other
Costa Rica,Other
Bolivia,Other
Campuchea,Other
Vietnam,Other
Rwanda,Other
Tanzania,Other
Jordan,Other
Congo Democratic Republic (formerly Zaire),Other
Ethiopia,Other
Luxembourg,Other
Niger,Other
Malta,Other
British Virgin Islands,Other
"Congo, Republic",Other
