,0,1
0,Kann man «Babylon Berlin» auch zeitversetzt schauen?,/sendungen/hallosrf/kann-man-babylon-berlin-auch-zeitversetzt-schauen
1,Gewissheit um letzten Willen Nationales Register für Organspende lanciert,
2,Charles Aznavour ist tot,/news/panorama/franzoesischer-frank-sinatra-charles-aznavour-ist-tot
3,CEO von Juventus geht – Gerüchte um Zidane mehren sich,/sport/fussball/champions-league/turbulenzen-bei-yb-gegner-ceo-von-juventus-geht-geruechte-um-zidane-mehren-sich
4,Roman Bürki: Vom Risikofaktor zum Bollwerk,/sport/fussball/internationale-ligen/neuerdings-unbestrittene-nr-1-roman-buerki-vom-risikofaktor-zum-bollwerk
5,"Slapstick, Sixpack, Sonntagsschuss!",/sport/fussball/internationale-ligen/fussball-weekend-in-bildern-slapstick-sixpack-sonntagsschuss
6,Weshalb wurden die Menschen von der Welle überrascht?,/news/panorama/tsunami-in-indonesien-weshalb-wurden-die-menschen-von-der-welle-ueberrascht
7,Über 1200 Tote befürchtet,/news/panorama/erdbeben-in-indonesien-ueber-1200-tote-befuerchtet
8,Die grosse Vorfreude auf die «Menschenwand»,/sport/eishockey/6-fragen-vor-bern-new-jersey-die-grosse-vorfreude-auf-die-menschenwand
9,Traumlos für FCZ-Frauen,/sport/fussball/internationale-ligen/fussball-news-traumlos-fuer-fcz-frauen
10,Italien kandidiert nun doch für 2026,/sport/mehr-sport/olympische-spiele/ruecktritt-vom-ruecktritt-italien-kandidiert-nun-doch-fuer-2026
11,Mit diesen Tipps wirst du Pilzsammler-Pro,/radio-srf-virus/aktuell/pilzsammeln-mit-diesen-tipps-wirst-du-pilzsammler-pro
12,Augen auf beim Pilze sammeln,/sendungen/ratgeber/augen-auf-beim-pilze-sammeln
13,"«The Cleaners»: Diese Billigarbeiter löschen Folter, Sex und Mord",/radio-srf-3/digital/zurich-film-festival-the-cleaners-diese-billigarbeiter-loeschen-folter-sex-und-mord
14,Max Hubacher über seine Rolle als psychisch Kranker,/radio-srf-3/aktuell/max-hubacher-ueber-seine-rolle-als-psychisch-kranker
15,Wie der Heisshunger der Amerikaner die Donuts löcherte,/kultur/wissen/erfindung-des-donut-lochs-wie-der-heisshunger-der-amerikaner-die-donuts-loecherte
16,Wieviel Gentechnik steckt in unserem Essen?,/kultur/wissen/food-und-forschung-wieviel-gentechnik-steckt-in-unserem-essen
17,Fast Food erster Güte: French Toast mit Etivaz,/sendungen/a-point/fast-food-erster-guete-french-toast-mit-etivaz
18,Digitale Entgiftung wird uns nicht heilen,/kultur/gesellschaft-religion/wochenende-gesellschaft/digital-detox-digitale-entgiftung-wird-uns-nicht-heilen
19,Legt das Handy weg!,/kultur/gesellschaft-religion/wochenende-gesellschaft/arena-reporter-legt-das-handy-weg
20,Mit Ursula Brunner bekam das Elend am Platzspitz ein Gesicht,/sendungen/dok/mit-ursula-brunner-bekam-das-elend-am-platzspitz-ein-gesicht
21,Zürich Junkietown,
